index,"server","path","artist","album","song","genre","type",genre_idx
0,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","12 Tell Me.mp3","Rock","Download",1
1,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","13 Farewell To You.mp3","Rock","Download",1
2,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","11 Lady Of The Valley [Live].mp3","Rock","Download",1
3,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","03 Broken Heart.mp3","Rock","Download",1
4,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","08 When The Children Cry.mp3","Rock","Download",1
5,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","02 Radar Love.mp3","Rock","Download",1
6,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","07 All You Need Is Rock N Roll [Live].mp3","Rock","Download",1
7,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","05 Little Fighter.mp3","Rock","Download",1
8,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","10 Cry For Freedom.mp3","Rock","Download",1
9,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","04 Hungry.mp3","Rock","Download",1
10,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","01 Wait.mp3","Rock","Download",1
11,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","09 Love Don't Come Easy.mp3","Rock","Download",1
12,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","White Lion","The Best Of White Lion","06 Lights And Thunder.mp3","Rock","Download",1
13,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","Dave Dee, Dozy, Beaky, Mick & Tich","Hold Tight! - Single","01 Hold Tight!.m4a","Rock","Download",1
14,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","Willie Nelson and Leon Russel","Willie Nelson and Leon Russel","02 Trouble In Mind.mp3","Country","Vinyl",1
15,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","Willie Nelson and Leon Russel","Willie Nelson and Leon Russel","06 Am I Blue.mp3","Country","Vinyl",1
16,"OSXAir.home","/Users/rduvalwa2/Music/iTunes/iTunes Music/Music","Willie Nelson and Leon Russel","Willie Nelson and Leon Russel","10 Far Away Places.mp3","Country","Vinyl",1
