cover_idx,"album_cover","album","description"
39,"Beatles White Album.jpg","White Album","none"
387,"Jimmy Whiterspoon.jpg","The Best Of Jimmy Witherspoon","none"
745,"The Best Of White Lion.jpg","The Best Of White Lion","none"
886,"weather_mr_gone.jpg","Mr. Gone","No description"
887,"Weather_Report-Heavy_Weather.jpg","Heavy Weather","No description"
888,"Weather_Report_Black_Market.jpg","Black Market","No description"
889,"WeatherReprt_mrgone.jpg","Mr. Gone","No description"
890,"WeatherReport_Night Passage.jpg","Night Passage","No description"
891,"WeatherReport_sweetnighter.jpg","Sweetnighter","No description"
892,"8_30 (Live).jpg","8_30 (Live)","No description"
893,"Tale Spinnin'.jpg","Tale Spinnin'","No description"
894,"weatherReport_weatherReport.jpg","Weather Report","No description"
895,"Meet the Beatles.jpg","Meet The Beatles","No description"
896,"Beatles songs pics stories.jpg","The Beatles Songs Pictures And Stories","No description"
897,"Beatles White Album.jpg","White Album","No description"
898,"Beatles VI.jpg","Beatles IV","No description"
899,"Beatles Something New.jpg","Something New","No description"
900,"Beatles Butcher Cover.jpg","Yesterday and Today","No description"
901,"Beatles 65.jpg","Beatles'65","No description"
902,"Beatles 62-66.jpg","The Beatles 1962-1966 (The Red Album)","No description"
903,"Sgt Peppers Lonely Hearts Club Band.jpg","Sgt Peppers Lonely Hearts Club Band","No description"
904,"For Sale.jpg","Beatles For Sale","No description"
905,"The Beatles' Second Album.jpg","The Beatles' Second Album","No description"
906,"Let It Be.jpg","Let It Be","No description"
907,"Revolver.jpg","Revolver","No description"
908,"Beatles Live At The Hollywood Bowl.jpg","Live At The Hollywood Bowl","No description"
909,"Hard Days Night.jpg","Hard Days Night","No description"
910,"Rubber Soul.jpg","Rubber Soul (North American)","No description"
911,"Rubber Soul.jpg","Rubber Soul","No description"
912,"Beatles Let It Be... Naked.jpg","Let It Be... Naked [Disc 2]","No description"
913,"Beatles Let It Be... Naked.jpg","Let It Be... Naked [Disc 1]","No description"
914,"Magical Mystery Tour.jpg","Magical Mystery Tour","No description"
915,"Hey Jude.jpg","Beatles Again(Hey Jude)","No description"
916,"Rubber Soul.jpg","Rubber Soul","No description"
917,"Abbey Road.jpg","Abbey Road","No description"
918,"Help.jpeg","Help","No description"
919,"IBMA Blue Grass Sample.jpg","IBMA Blue Grass Sample","No description"
920,"Marianne Faithfull_ Greatest Hits.jpg","Marianne Faithfull_ Greatest Hits","No description"
921,"the Art Of McCartney.jpg","The Art Of McCartney [Disc 1]","No description"
922,"the Art Of McCartney.jpg","The Art Of McCartney [Disc 2]","No description"
923,"Easy Rider (Soundtrack from the Motion Picture) [Deluxe Edition].jpg","Easy Rider (Soundtrack from the Motion Picture) [Deluxe Edition]","No description"
924,"20th Century Masters - The Millennium Collection_ The Best of Dusty Springfield.jpg","20th Century Masters - The Millennium Collection_ The Best of Dusty Springfield","No description"
925,"Crispian St. Peters Greatest Hits.jpg","Crispian St. Peters Greatest Hits","No description"
926,"ericclapton_crossroad.jpg","Crossroads Guitar Festival 2013 [Live] [Disc 2]","No description"
927,"ericclapton_crossroad.jpg","Crossroads Guitar Festival 2013 [Live] [Disc 1]","No description"
928,"50's Rock.jpg","50's Rock","No description"
930,"Im_Not_There_Soundtrack_Cover.jpg","I'm Not There [Disc 1]","No description"
931,"Im_Not_There_Soundtrack_Cover.jpg","I'm Not There [Disc 2]","No description"
932,"Gypsy Soul New Flamenco.jpg","Gypsy Soul New Flamenco","No description"
933,"Back to the 60's, Vol. 1_ 18 Flashback Memories (Re-Recorded Versions).jpg","Back to the 60's, Vol. 1_ 18 Flashback Memories (Re-Recorded Versions)","No description"
934,"Delta Lady_ The Rita Coolidge Anthology [Disc 2].jpg","Delta Lady The Anthology","No description"
935,"Le Chant Du Monde 1983.jpg","Le Chant Du Monde 1983","No description"
936,"The 50 Greatest Pieces of Classical Music.jpg","The 50 Greatest Pieces of Classical Music","No description"
937,"Time Signatures A Retrospective.jpg","Time Signatures_ A Retrospective (1)","No description"
938,"DaveMason_DefintiveCollection.jpeg","Dave Mason The Definitive Collection","No description"
939,"The Departed.jpg","The Departed","No description"
940,"Hit's of the 60s (New Stereo Recordings by the Original Artists).jpg","Hit's of the 60s (New Stereo Recordings by the Original Artists)","No description"
942,"Blues Selects.jpg","Blues Selects","No description"
943,"20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions).jpg","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","No description"
944,"More Solid Gold 60s Volume 2.jpg","More Solid Gold 60s Volume 2","No description"
945,"Masked And Anonymous.jpg","Masked & Anonymous","No description"
946,"IronButterfly_Inagaddadavida.jpeg","Iron Butterfly Hits","No description"
947,"Rat Pack_ Members Edition [Live].jpg","Rat Pack_ Members Edition [Live]","No description"
948,"Mozart by Candlelight.jpg","Mozart by Candlelight","No description"
949,"Delta Lady_ The Rita Coolidge Anthology [Disc 2].jpg","Delta Lady_ The Rita Coolidge Anthology [Disc 2]","No description"
950,"The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1.jpg","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","No description"
951,"The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1.jpg","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","No description"
