index,"artist","genre"
0,"White Lion","Rock"
1,"Dave Dee, Dozy, Beaky, Mick & Tich","Rock"
2,"Willie Nelson and Leon Russel","Country"
3,"Blue Swede","Rock"
4,"Polecat","Country"
5,"Ringo Starr","Rock"
6,"Traffic","Rock"
7,"North Mississippi Allstars","Blues"
8,"Tony Burgos & His Swing Shift Orchestra","Jazz"
9,"Cold War Kids","Pop"
10,"Golden Earring","Rock"
11,"Johnny Cash","Country"
12,"Les McCann","Jazz"
13,"Little Eva","R&B"
14,"Santo And Johnny","Rock"
15,"Uncle Earl","BlueGrass"
16,"Alison Krauss","Country"
17,"Bee Gees","Folk"
18,"Pat Metheny Group","Jazz"
19,"Jeremy Camp","Pop"
20,"The Kingston Trio","Folk"
21,"Waylon Jennings & The Waylors","Country"
22,"Jerry Jeff Walker","Country"
23,"Bill Perry","Rock"
25,"Fats Waller","Jazz"
26,"Mark Knopfler","Rock"
27,"Zac Brown Band","Country"
28,"Mark Knopfler_Emmylou Harris","Rock"
29,"George Harrison","Rock"
30,"The Byrds","Rock"
31,"Julio Iglesias","Classical"
32,"k.d. lang and the Siss Boom Bang","Pop"
33,"Josh Rouse","Pop"
34,"Wye Oak","Pop"
35,"Darius Brubeck","Jazz"
36,"John Coltrane","Jazz"
37,"Sarah Jarosz","BlueGrass"
38,"Philip Selway","Rock"
39,"Dave Matthews Band","Rock"
40,"Della Mae","Country"
41,"Weather Report","Jazz"
42,"Olivia Newton-John","Country"
43,"Moody Blues","Rock"
44,"Ravel","Classical"
45,"Mark O'Connor","Jazz"
46,"Ben E. King","R&B"
47,"Creedence Clearwater Revival","Rock"
48,"Rodriguez","Rock"
49,"Paul Simon","Pop"
50,"Small Faces","Rock"
51,"Deep Purple","Rock"
52,"Loreena McKennitt","Pop"
53,"John Mayall & The Bluesbreakers","Blues"
54,"Asleep At the Wheel","TexMex"
55,"Thelonious Monk Quartet With John Coltrane","Jazz"
56,"The Yardbirds","Rock"
57,"ZZ Top","Rock"
58,"R.E.M.","Rock"
59,"Gregg Allman","Blues"
60,"Harry Belafonte","Pop"
61,"Tom Petty & The Heartbreakers","Rock"
62,"Monsters Of Folk","Folk"
63,"Alexander","Pop"
64,"Santana","TexMex"
65,"Gordon Lightfoot","Folk"
66,"Aloe Blacc","R&B"
67,"Ike and Tina Turner","Rock"
68,"Ritchie Valens","Rock"
69,"Padraig MacMathuna","Pop"
70,"John Prine","Folk"
71,"Nashville Teens","Rock"
72,"Jackson Browne","Pop"
73,"John Fogerty","Rock"
74,"Miles Davis","Jazz"
75,"The Overton Berry Trio","Jazz"
76,"The Cars","Rock"
77,"Marvin Gaye","R&B"
78,"Hot Tuna","Blues"
79,"Little Richard","Rock"
80,"The Electric Prunes","Rock"
81,"Desmond Dekker","Reggae"
82,"Foy Willing & The Riders Of The Purple Sage","Country"
83,"Earth, Wind & Fire","Rock"
84,"The Marshall Tucker Band","Rock"
85,"Elton John","Pop"
86,"Gary Burton, Steve Swallow, Roy Haynes, Tiger Okoshi","Jazz"
87,"Telekinesis","Pop"
88,"Styx","Rock"
89,"Robert Plant","Rock"
90,"Nat _King_ Cole","Pop"
91,"Eric Clapton & B.B. King","Blues"
92,"Blondie","Pop"
93,"Little Dragon","Rock"
94,"Buffalo Springfield","Rock"
95,"Ten Years After","Blues"
96,"Pat Metheny Trio","Jazz"
97,"Oliver Kane","Classical"
98,"Stealers Wheel","Rock"
99,"Cat Stevens","Rock"
100,"R.L. Burnside","Blues"
101,"Heart","Rock"
102,"Redbird","Country"
103,"Alabama","Country"
104,"Crosby, Stills, Nash & Young","Rock"
105,"Wynton Marsalis & Eric Clapton","Jazz"
106,"Dvorak","Classical"
107,"Herman's Hermits","Rock"
108,"Badfinger","Rock"
109,"Walt Weiskopf Nonet","Jazz"
110,"The Ventures","Rock"
111,"Mitch Ryder & The Detroit Wheels","Rock"
112,"Guns N' Roses","Rock"
113,"Patti Smith","Rock"
114,"The Airborne Toxic Event","Pop"
115,"Joni Mitchell","Folk"
116,"Tim O'Brien","BlueGrass"
117,"Bad Company","Rock"
118,"John Scofield","Jazz"
119,"Los Bravos","Rock"
120,"The 5.6.7.8's","Rock"
121,"Carole King","Pop"
122,"Stevie Ray Vaughan & Double Trouble","Blues"
123,"Los Lobos","TexMex"
124,"Bobby Darin","Rock"
125,"Simon & Garfunkel","Rock"
126,"Cody Bryant and The Riders Of The Purple Sage","Country"
127,"Chicago","Rock"
128,"The Animals","Rock"
129,"Alvin Lee & Ten Years Later","Blues"
130,"Patsy Cline","Country"
131,"David Bowie","Rock"
132,"Mavis Staples","R&B"
133,"Tom Jones","Pop"
134,"Richard Wagner","Classical"
135,"Duran Duran","Rock"
136,"Gerry Rafferty","Rock"
137,"Boz Scaggs","Rock"
138,"The Charlie Daniels Band","Country"
139,"Humble Pie","Rock"
140,"Alex Hargreaves","Pop"
141,"Aerosmith","Rock"
142,"Grateful Dead","Rock"
143,"The Doobie Brothers","Rock"
144,"America","Pop"
145,"Average White Band","Rock"
146,"Antonio Vivaldi","Classical"
147,"Barry McGuire","Folk"
148,"Bob Marley & The Wailers","Reggae"
149,"Buddy Holly","RockaBilly"
150,"Brenda Lee","Country"
151,"New Riders of the Purple Sage","Rock"
152,"Kiss","Rock"
153,"Drive-By Truckers","Rock"
154,"Prince","Rock"
155,"Toto","Rock"
156,"Dave Edmunds","Rock"
157,"Wagner","Classical"
158,"Kris Kristofferson","Country"
159,"J.J. Cale","Rock"
160,"Iron Butterfly","Rock"
161,"Jim Croce","Rock"
162,"Richie Havens","Blues"
163,"Bob Seger","Rock"
164,"Talking Heads","Alternative"
165,"Unknown Artist","Classical"
166,"Union Gap","Rock"
167,"Meat Loaf","Rock"
168,"Cheap Trick","Rock"
169,"The Soundtrack Studio Stars","Rock"
170,"Neil Diamond","Pop"
171,"Keith Urban","Rock"
172,"Chet Atkins and Hank Snow","Country"
173,"The Monkees","Rock"
174,"Herbie Hancock","Jazz"
175,"Carl Perkins","RockaBilly"
176,"Jefferson Airplane","Rock"
177,"Boxcar Willie","Country"
178,"Lou Reed","Rock"
179,"Pete Seeger & Arlo Guthrie","Folk"
180,"Fleet Foxes","Indie Rock"
181,"John Fahey","Pop"
182,"T. Rex","Rock"
183,"Dierks Bentley","Country"
184,"Hank Williams","Country"
185,"Sonny & Cher","Rock"
186,"Blue Oyster Cult","Rock"
187,"Jerry Garcia Band","Rock"
188,"Lynyrd Skynyrd","Country"
189,"Glasser","Pop"
190,"Tommy James & The Shondells","Rock"
191,"Freddie Notes & the Rudies","Reggae"
192,"Led Zeppelin","Rock"
193,"Commander Cody & His Lost Planet Airmen","Rock"
194,"We Are Augustines","Pop"
195,"Black Sabbath","Metal"
196,"Mark Knopfler & Emmylou Harris","Rock"
197,"The Sweet","Rock"
198,"Duke Ellington","Jazz"
199,"Muddy Waters","Blues"
200,"Eric Clapton","Rock"
201,"The Hollies","Rock"
202,"The Everly Brothers","Rock"
203,"Mannheim Steamroller","Pop"
204,"Lester Young","Jazz"
205,"The Righteous Brothers","Rock"
206,"Clarence Gatermouth Brown","Blues"
207,"The Chieftains","BlueGrass"
208,"The Tremeloes","Rock"
209,"Arlo Guthrie","Folk"
210,"Andre Kostelanetz and his orchestra","Classical"
211,"Lesley Gore","Pop"
212,"Dave Brubeck","Jazz"
213,"Blind Faith","Rock"
214,"The Who","Rock"
215,"Brewer & Shipley","Rock"
216,"The Sonics","Rock"
217,"Bill Withers","R&B"
218,"Neil Young","Rock"
219,"Sonny Rollins","Jazz"
220,"Keith Jarrett","Jazz"
221,"The Coats","Pop"
222,"Wayne Fontana & The Mindbenders","Rock"
223,"Journey","Rock"
224,"Bob Forrest","Blues"
225,"Rita Coolidge","Country"
226,"Booker T. Jones","Rock"
227,"James Morrison","Rock"
228,"Joan Baez","Folk"
