index,"artist","album","genre","type","cover_name",cover_idx
0,"White Lion","The Best Of White Lion","Rock","Download","The Best Of White Lion.jpg",745
1,"Dave Dee, Dozy, Beaky, Mick & Tich","Hold Tight! - Single","Rock","Download","Hold Tight! - Single.jpg",1935
2,"Willie Nelson and Leon Russel","Willie Nelson and Leon Russel","Country","Vinyl","WillieNelsonAndLeonRussell.jpg",1936
3,"Dolly Parton, Linda Ronstadt & Emmylou Harris","My Dear Companion Selection","Country","Download","My Dear Companion Selection.jpg",1151
4,"Blue Swede","Hooked On a Feeling - Single","Rock","Download","BlueSwede Hooked On a Feeling - Single.jpg",1872
5,"Polecat","Fire On The Hill","Country","Download","Polecat.jpeg",1937
6,"Ringo Starr","Photograph_ The Digital Greatest Hits","Rock","Download","Ringo_Photograph_ The Digital Greatest Hits.jpg",1603
7,"Ringo Starr","Photograph_ The Very Best Of Ringo Starr","Rock","download","Ringo_Photograph-TheVeryBestOfRingoStarr_cover_art.jpg",1605
8,"Ringo Starr","Postcards From Paradise","Rock","CD","Ringo_PostCards.jpg",1602
9,"Traffic","Traffic","Rock","CD","Traffic_album.jpg",1456
10,"Traffic","John Barleycorn Must Die","Rock","CD","Traffic John_Barleycorn_Must_Die.jpg",1459
11,"Traffic","When The Eagle Flies","Rock","Vinyl","Traffic_When The Eagle Flies.jpeg",1457
12,"Traffic","Welcome To The Canteen [Live]","Rock","download","Traffic-Welcome_to_the_Canteen.jpg",1458
13,"North Mississippi Allstars","51 Phantom","Blues","Download","NorthMissAllstars 51 Phantom.jpg",1849
14,"North Mississippi Allstars","Shake Hands With Shorty","Blues","Download","NorthMissAllstars Shake Hands With Shorty.jpg",1850
15,"Tony Burgos & His Swing Shift Orchestra","Swing Now_ East Coast","Jazz","Download","Swing Now_ East Coast.jpg",2017
16,"Cold War Kids","Mine Is Yours (Deluxe Version)","Pop","Download","Mine Is Yours (Deluxe Version).jpg",1383
17,"Golden Earring","Moontan","Rock","Download","Moontan.jpg",1938
18,"Johnny Cash","Classic Country Hits of the 1960s with Songs","Country","Download","Classic Country Hits of the 1960s with Songs.jpg",1818
19,"Johnny Cash","Sunday Morning Coming Down","Country","Vinyl","JohnnyCash_SundayMorning.jpg",1817
20,"Les McCann","Live At Montreux","Jazz","Download","Live At Montreux.png",1930
21,"Andy Narell","Stickman","Jazz","Vinyl","Stickman.jpeg",1939
22,"Little Eva","The Loco-Motion","R&B","Download","The_Loco-Motion_by_Little_Eva_1962.jpg",1940
23,"Blackfoot","Strikes","Rock","Download","Strikes.jpg",1941
24,"Uncle Earl","She Waits for Night","BlueGrass","CD","UncleEarl_she waits for the night.jpg",1942
25,"Uncle Earl","Waterloo, Tennessee","BlueGrass","CD","uncleEarl_waterloo.jpg",1943
26,"Alison Krauss","Windy City","Country","CD","Krauss_WindyCity.jpg",1550
27,"Alison Krauss","Forget About It","Country","CD","Forget About It.jpg",1551
28,"Alison Krauss","A Hundred Miles or More - A Collection","Country","Download","Krauss A Hundred Miles or More - A Collection.jpg",1552
29,"Bee Gees","Number Ones","Folk","Download","BeeGees Number Ones.jpg",1414
30,"Bee Gees","Main Course","Folk","Vinyl","Bee Gees Main Course.jpg",1415
31,"Bee Gees","Best Of The BeeGees","Folk","Vinyl","Best Of The BeeGees.jpg",1417
32,"Bee Gees","Mr. Natural","Folk","Vinyl","Bee Gees Mr Natural.jpeg",1416
33,"Pat Metheny Group","American Garage","Jazz","Vinyl","PatMethany_American Garage.jpg",1533
34,"The Kingston Trio","Absolutely The Best","Folk","CD","Absolutely The Best.jpg",1944
35,"Waylon Jennings & The Waylors","Early Years","Country","Download","Waylon Jennings Early Years.jpg",1359
36,"Jerry Jeff Walker","20th Century Masters - The Millennium Collection_ The Best of Jerry Jeff Walker","Country","Download","20th Century Masters - The Millennium Collection_ The Best of Jerry Jeff Walker.jpg",1945
37,"AC_DC","Rock Or Bust","Rock","CD","Rock Or Bust.jpg",1946
38,"Elton John & Leon Russell","The Union","Pop","CD","EltonJohn_LeanRussel_The Union.jpg",1181
39,"Janos Sebestyen","Bach_ Inventions & Sinfonias, BWV 772-801","rock","download","JsBach_InventionsAndSinfonias.jpg",1625
40,"Bill Perry","Fire It Up","Rock","Download","Bill Perry Fire It Up.jpg",1882
41,"Old Crow Medicine Show","Tennessee Pusher","Country","CD","OldCrow Tennessee Pusher 1.jpg",1711
42,"Old Crow Medicine Show","OCMS","Country","CD","OldCrow OCMS 1.jpg",1710
43,"Alvin Lee _ Mylon LeFevre","On The Road To Freedom Alvin Lee & Mylon LeFevre","rock","Vinyl","On The Road To Freedom Alvin Lee & Mylon LeFevre.jpg",1470
44,"Alligator Stew","Alligator Stew","Folk","CD","Alligator Stew.jpg",1947
45,"Fats Waller","Fats Waller_ Very Best of Fats Waller","Jazz","CD","FatsWaller_TheVeryBest.jpg",1922
46,"Mark Knopfler","The Ragpicker's Dream","Rock","Download","MarkKnopfler The Ragpicker's Dream.jpg",1274
47,"Mark Knopfler","Tracker","Rock","CD","MarkKnopfler_Tracker.jpg",1272
48,"Mark Knopfler","Sailing To Philadelphia","Rock","Download","MarkKnopfler_sailingotPhili.jpg",1273
49,"Mark Knopfler","Golden Heart","Rock","Download","MarkKnopfler Golden Heart.jpg",1275
50,"Mark Knopfler","Get Lucky","Rock","CD","MarkKnopfler_Get Lucky.jpg",1271
51,"Zac Brown Band","Keep Me In Mind - Single","Country","Download","ZacBrown Keep Me In Mind - Single.jpg",1300
52,"Zac Brown Band","JEKYLL + HYDE","Country","Download","ZacBrown JEKYLL + HYDE.jpg",1298
53,"Zac Brown Band","Greatest Hits So Far","Country","Download","ZacBrown Greatest Hits So Far.jpg",1299
54,"Zac Brown Band","Pass The Jar_ Zac Brown Band And Friends Live From The Fabulous Fox Theatre In Atlanta [Disc 1]","Country","download","ZacBrown_Pass_the_jar.jpg",1296
55,"Zac Brown Band","Pass The Jar_ Zac Brown Band And Friends Live From The Fabulous Fox Theatre In Atlanta [Disc 2]","Country","download","ZacBrown_Pass_the_jar.jpg",1297
56,"Mark Knopfler_Emmylou Harris","All the Road Running","Rock","Download","EmmylouHarris_All The Road Running.jpg",1153
57,"George Harrison","Let It Roll - Songs of George Harrison (Remastered)","Rock","Download","Let It Roll - Songs of George Harrison (Remastered).jpg",1616
58,"The Byrds","Super Hits The Byrds","Rock","Download","byrds_superhits.jpg",1873
59,"Black Rebel Motorcycle Club","B.R.M.C","Alternative","download","BRMC.jpg",1948
60,"Gladys Knight & The Pips","Gold [Disc 2]","R&B","CD","Supremes_Gold.jpg",1722
61,"Gladys Knight & The Pips","Gold [Disc 1]","R&B","CD","Supremes_Gold.jpg",1721
62,"Julio Iglesias","Tango","Classical","Download","Tango.jpg",1949
63,"k.d. lang and the Siss Boom Bang","A Sleep With No Dreaming - Single","Pop","Download","A Sleep With No Dreaming - Single.jpg",1921
64,"Wye Oak","We Were Wealth","Pop","Download","We Were Wealth.jpg",1950
65,"Darius Brubeck","Chaplin's back","Jazz","Vinyl","ChaplinsBack.jpeg",1951
66,"John Coltrane","Blue Train [Expanded Edition]","Jazz","CD","JohnColtrane_Blue_Train.jpg",958
67,"John Coltrane","Newport '63 [Live]","Jazz","CD","JohnColtrane_Newport_63.jpg",959
68,"John Coltrane","Ballads (Deluxe Edition) [Disc 1]","Jazz","CD","JohnColtrane_Ballads.jpg",962
69,"John Coltrane","Ballads (Deluxe Edition) [Disc 2]","Jazz","CD","JohnColtrane_Ballads.jpg",963
70,"John Coltrane","Coltrane Live At the Village Vangard Again!","Jazz","Vinyl","JohnColtrane_-_Live_at_the_Village_Vanguard_Again.jpg",964
71,"John Coltrane","Coltrane_Prestige 7105","Jazz","Vinyl","JohnColtrane_prestige_7105.jpg",965
72,"John Coltrane","John Coltrane His Greatest Years","Jazz","Vinyl","JohnColtrane His Greatest Years.jpg",967
73,"John Coltrane","Stardust","Jazz","CD","JohnColtrane_StarDust.jpg",966
74,"John Coltrane","Live In Seattle [Disc 2]","Jazz","CD","JohnColtrane_Live_in_Seattle.jpg",961
75,"John Coltrane","Giant Steps","Jazz","Vinyl","Coltrane Giant Steps.jpg",968
76,"John Coltrane","My Favorite Things","Jazz","Vinyl","Coltrane_Favorite_Things.jpg",969
77,"John Coltrane","Live in Seattle [Disc 1]","Jazz","CD","JohnColtrane_Live_in_Seattle.jpg",960
78,"John Coltrane","Impressions","Jazz","CD","Coltrane_Impressions.jpg",970
79,"John Coltrane","Jazz Manifesto","Jazz","Vinyl","JohnColtrane_JazzManifesto.jpg",973
80,"Sarah Jarosz","Follow Me Down","BlueGrass","Download","SarahJarosz_followMe.jpg",1952
81,"Sarah Jarosz","Song Up In Her Head","BlueGrass","Download","SarahJarosz_Song_Up_in_Her_Head.jpg",1953
82,"Kenny Burrell & John Coltrane","Kenny Burrell & John Coltrane","Jazz","CD","Kenny Burrell & John Coltrane.jpg",974
83,"Yo La Tengo","And Then Nothing Turned Itself Inside-Out","Indie Rock","download","YoLaTengo And Then Nothing Turned Itself Inside-Out.jpg",1703
84,"Yo La Tengo","Stuff Like That There","Indie Rock","CD","YoLaTengo Stuff Like That There.jpg",1702
85,"Dave Matthews Band","Live At Red Rocks 8.15.95 [Disc 1]","Rock","CD","DaveMatthews_Live At Red Rocks 8.15.95.jpg",1596
86,"Dave Matthews Band","Live At Red Rocks 8.15.95 [Disc 2]","Rock","CD","DaveMatthews_Live At Red Rocks 8.15.95.jpg",1597
87,"Dave Matthews Band","Everyday","Rock","CD","DaveMatthewsBandEveryday.jpg",1598
89,"Pat Benatar","Pat Benatar Greatest Hits","Country","Download","Pat Benatar Greatest Hits.jpg",1801
90,"Otis Redding","The Dock Of The Bay","R&B","CD","OtisReddig_DockBay.jpg",1633
91,"Della Mae","This World Oft Can Be","Country","Download","DellaMae This World Oft Can Be.jpg",1891
92,"Weather Report","Sweetnighter","Jazz","Download","WeatherReport_sweetnighter.jpg",891
93,"Weather Report","8_30 (Live)","Jazz","Download","8_30 (Live).jpg",892
94,"Weather Report","Weather Report","Jazz","Download","weatherReport_weatherReport.jpg",894
95,"Weather Report","Tale Spinnin'","Jazz","Download","Tale Spinnin'.jpg",893
96,"Weather Report","Night Passage","Jazz","Vinyl","WeatherReport_Night Passage.jpg",890
97,"Weather Report","Mr. Gone","Jazz","Download","weather_mr_gone.jpg",886
98,"Weather Report","Heavy Weather","Jazz","Vinyl","Weather_Report-Heavy_Weather.jpg",887
99,"Weather Report","Black Market","Jazz","Vinyl","Weather_Report_Black_Market.jpg",888
100,"Olivia Newton-John","Olivia Newton-John","Country","Download","Olivia Newton John.jpg",1954
101,"Ravel","Ravel_ Bolero","Classical","Download","Bolero.jpeg",1955
102,"Bachman","Heavy Blues","rock","download","Heavy Blues.jpg",1956
103,"Mark O'Connor","Midnight on the Water","Jazz","CD","MarkOConnor Midnight on the Water.jpg",1282
